id,naslov,dolzina,leto,ocena,metascore,glasovi,zasluzek,oznaka,opis
25316,Zgodilo se je neke noci,105,1934,8.1,87,92263,4360000,,A spoiled heiress running away from her family is helped by a man who is actually a reporter in need of a story.
25452,The Man Who Knew Too Much,75,1934,6.8,,16725,,,An ordinary British couple vacationing in Switzerland suddenly find themselves embroiled in a case of international intrigue when their daughter is kidnapped by spies plotting a political assassination.
25878,The Thin Man,91,1934,8.0,86,25985,,,"Former detective Nick Charles and his wealthy wife Nora investigate a murder case, mostly for the fun of it."
26029,39 stopnic,86,1935,7.6,93,51010,,,"A man in London tries to help a counter-espionage Agent. But when the Agent is killed, and the man stands accused, he must go on the run to save himself and stop a spy ring which is trying to steal top secret information."
26138,The Bride of Frankenstein,75,1935,7.8,95,42890,4360000,,"Mary Shelley reveals the main characters of her novel survived: Dr. Frankenstein, goaded by an even madder scientist, builds his monster a mate."
26174,Captain Blood,119,1935,7.7,,12811,,,"After being wrongly convicted as a traitor, Peter Blood, an English physician, is sent to exile in the British colonies of the Caribbean, where he becomes a pirate."
26752,Mutiny on the Bounty,132,1935,7.7,87,20497,,,"First mate Fletcher Christian leads a revolt against his sadistic commander, Captain Bligh, in this classic seafaring adventure, based on the real-life 1788 mutiny."
26778,A Night at the Opera,96,1935,7.9,,30189,2537520,,A sly business manager and two wacky friends of two opera singers help them achieve success while humiliating their stuffy and snobbish enemies.
27125,Top Hat,101,1935,7.7,92,17198,3884760,,"An American dancer comes to Britain and falls for a model whom he initially annoyed, but she mistakes him for his goofy producer."
27260,After the Thin Man,112,1936,7.7,,9279,,,Nick investigates the case of a missing man and later a murder that is connected to Nora's family.
27532,Dodsworth,101,1936,7.8,,8060,,,A retired auto manufacturer and his wife take a long-planned European vacation only to find that they want very different things from life.
27652,Fury,92,1936,7.9,,11079,,,"When a wrongly accused prisoner barely survives a lynch mob attack and is presumed dead, he vindictively decides to fake his death and frame the mob for his supposed murder."
27977,Moderni časi,87,1936,8.5,96,213707,163245,,The Tramp struggles to live in modern industrial society with the help of a young homeless woman.
